iter	Passed	Remaining
0	0	33
1	0	28
2	0	27
3	1	24
4	1	23
5	1	22
6	1	22
7	1	22
8	2	21
9	2	21
10	2	21
11	2	21
12	3	20
13	3	20
14	3	20
15	3	20
16	4	19
17	4	19
18	4	19
19	4	19
20	4	18
21	5	18
22	5	18
23	5	17
24	5	17
25	6	17
26	6	17
27	6	17
28	6	17
29	7	17
30	7	16
31	7	16
32	8	16
33	8	16
34	8	16
35	8	15
36	9	15
37	9	15
38	9	15
39	10	15
40	10	14
41	10	14
42	10	14
43	10	13
44	11	13
45	11	13
46	11	13
47	12	13
48	12	13
49	12	12
50	13	12
51	13	12
52	13	12
53	14	11
54	14	11
55	14	11
56	14	11
57	15	11
58	15	10
59	15	10
60	16	10
61	16	10
62	16	9
63	16	9
64	17	9
65	17	8
66	17	8
67	18	8
68	18	8
69	18	7
70	18	7
71	19	7
72	19	7
73	19	6
74	19	6
75	20	6
76	20	6
77	20	5
78	20	5
79	21	5
80	21	5
81	21	4
82	21	4
83	22	4
84	22	3
85	22	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
92	24	1
93	25	1
94	25	1
95	25	1
96	25	0
97	26	0
98	26	0
99	26	0
