iter	Passed	Remaining
0	59	59655
1	60	29958
2	60	20025
3	60	15061
4	60	12086
5	61	10117
6	61	8707
7	61	7641
8	61	6811
9	62	6151
10	62	5614
11	62	5166
12	63	4788
13	63	4457
14	63	4173
15	63	3927
16	64	3707
17	64	3510
18	64	3338
19	64	3179
20	65	3035
21	65	2905
22	65	2786
23	65	2678
24	66	2577
25	66	2486
26	66	2399
27	66	2319
28	67	2246
29	67	2177
30	67	2111
31	67	2050
32	68	1994
33	68	1941
34	68	1890
35	68	1842
36	69	1796
37	69	1754
38	69	1714
39	69	1676
40	70	1641
41	70	1607
42	70	1574
43	71	1543
44	71	1512
45	71	1483
46	71	1456
47	72	1429
48	72	1404
49	72	1379
50	72	1356
51	73	1334
52	73	1312
53	73	1290
54	73	1269
55	74	1249
56	74	1230
57	74	1212
58	74	1195
59	75	1178
60	75	1161
61	75	1146
62	76	1131
63	76	1115
64	76	1101
65	76	1087
66	77	1074
67	77	1062
68	77	1049
69	78	1037
70	78	1024
71	78	1012
72	78	1000
73	79	989
74	79	978
75	79	967
76	79	957
77	80	947
78	80	937
79	80	927
80	80	917
81	81	908
82	81	898
83	81	889
84	81	880
85	82	872
86	82	863
87	82	856
88	82	848
89	83	840
90	83	832
91	83	826
92	83	818
93	84	811
94	84	804
95	84	798
96	85	791
97	85	785
98	85	779
99	85	772
100	86	766
101	86	760
102	86	754
103	86	748
104	87	742
105	87	736
106	87	731
107	87	726
108	88	721
109	88	716
110	88	711
111	89	706
112	89	702
113	89	697
114	89	692
115	90	687
116	90	682
117	90	677
118	90	673
119	91	668
120	91	664
121	91	660
122	92	656
123	92	651
124	92	647
125	92	643
126	93	639
127	93	635
128	93	632
129	93	628
130	94	624
131	94	620
132	94	617
133	94	613
134	95	609
135	95	606
136	95	602
137	95	598
138	96	595
139	96	591
140	96	588
141	96	585
142	97	581
143	97	578
144	97	575
145	97	572
146	98	569
147	98	565
148	98	562
149	98	559
150	99	557
151	99	554
152	99	551
153	99	548
154	100	545
155	100	543
156	100	540
157	100	537
158	101	534
159	101	532
160	101	529
161	101	526
162	102	524
163	102	521
164	102	518
165	102	516
166	103	514
167	103	511
168	103	509
169	103	507
170	104	504
171	104	502
172	105	503
173	105	500
174	105	498
175	105	496
176	106	493
177	106	491
178	106	489
179	107	487
180	107	485
181	107	484
182	107	482
183	108	480
184	108	477
185	108	476
186	109	474
187	109	472
188	109	470
189	109	468
190	110	465
191	110	463
192	110	461
193	110	459
194	111	460
195	111	458
196	112	457
197	112	455
198	112	453
199	112	451
200	113	449
201	113	447
202	113	445
203	113	443
204	114	442
205	114	440
206	114	439
207	114	437
208	115	435
209	115	434
210	115	432
211	115	430
212	116	428
213	116	427
214	116	425
215	116	423
216	117	422
217	117	420
218	117	419
219	117	417
220	118	416
221	118	414
222	118	413
223	119	413
224	119	412
225	120	411
